nama_faskes;jenis_faskes;provinsi;kota_kab;alamat;is_support_bpjs;link_maps;;;
RS Umum Jeumpa Hospital;Rumah Sakit Umum;Aceh;Bireuen;Jl. B.Aceh - Medan, Km 220 No 102 Dsn.Teratai, Desa Geulanggang Baro, Kecamatan Kota Juang;TRUE;http://maps.google.co.id/?q=5.205108,96.722269;;;
RS Tanoh Gayo;Rumah Sakit Umum;Aceh;Gayo Lues;Jl. Blower Kp Pers. Sentang, Desa/Kelurahan Bustanussalam, Kec. Blangkejeren;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Tanoh+Gayo+Gayo+Lues;;;
RS Umum Daerah Teuku Umar Kabupaten Aceh Jaya;Rumah Sakit Umum;Aceh;Aceh Jaya;Jln. Ali Gunong, Lr. PMI No. 1, Calang, Kec. Krueng Sabee Kabupaten Aceh Jaya Propinsi Aceh;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+Teuku+Umar+Kabupaten+Aceh+Jaya+Aceh+Jaya;;;
RS AL Sabang;Rumah Sakit Umum;Aceh;Kota Sabang;Jl. Teuku Chik Ditiro, Kel. Kota Atas, Kec. Sukakarya;FALSE;https://www.google.com/maps/search/?api=1&query=RS+AL+Sabang+Kota+Sabang;;;
RS Umum Daerah Type D Pratama T. Cut Ali;Rumah Sakit Umum;Aceh;Aceh Selatan;Jl. Padang Ketek Gampong Kedai Rundeng Kec. Kluet Selatan;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+Type+D+Pratama+T.+Cut+Ali+Aceh+Selatan;;;
RS Umum Daerah Langsa;Rumah Sakit Umum;Aceh;Kota Langsa;Jl. Jend. Ahmad Yani No.1, Gampong Jawa, Kec. Langsa Kota, Kota Langsa, Provinsi Aceh.;TRUE;http://maps.google.co.id/?q=4.472208,97.975533;;;
RS Umum Daerah TGK. Abdullah Syafii Beureuneun;Rumah Sakit Umum;Aceh;Pidie;Jl. Banda Aceh-Medan Km. 125,5 Kota Mini  Beureunuen Kec. Mutiara Timur;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+TGK.+Abdullah+Syafii+Beureuneun+Pidie;;;
RS Umum Malahayati;Rumah Sakit Umum;Aceh;Kota Banda Aceh;Jl. Cut Nyak Dhien No. 498 Banda Aceh;TRUE;http://maps.google.co.id/?q=5.2032386,96.683872;;;
RS Umum Ibnu Sina;Rumah Sakit Umum;Aceh;Aceh Besar;Jl. Banda Aceh-Medan Km 25,5 Kecamatan Indrapuri, Kabupaten Aceh Besar, Provinsi Aceh. ;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Ibnu+Sina+Aceh+Besar;;;
RS Umum Muhammad Ali Kasim;Rumah Sakit Umum;Aceh;Gayo Lues;Jl. Pangur, Desa Pangur, Kecamatan Dabun Gelang;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Muhammad+Ali+Kasim+Gayo+Lues;;;
