nama_faskes;jenis_faskes;provinsi;kota_kab;alamat;is_support_bpjs;link_maps;;;
Dr. APRIANI DEWI (JST);Klinik Utama;Riau;Kab. Bengkalis;Jl. Sultan Syarif Qasim;TRUE;http://maps.google.co.id/?q=1.367244,102.149452;;;
dr. Sugiati;Klinik Utama;Riau;Kab. Bengkalis;Jl. Lintas Duri-Dumai Xiii;TRUE;http://maps.google.co.id/?q=1.428075,101.173096;;;
dr. RECKY CHAIRUNAS;Klinik Utama;Riau;Kab. Bengkalis;Jl. Jend. Sudirman;TRUE;http://maps.google.co.id/?q=1.529354,102.214295;;;
Dr. SYAFNI;Klinik Utama;Riau;Kab. Bengkalis;Jalan Kayangan Tengah Duri;TRUE;http://maps.google.co.id/?q=1.27266,101.17215;;;
Dr. Novi Novera;Klinik Utama;Riau;Kab. Bengkalis;Jl. Asrama Tribrata;TRUE;-;;;
Dr. Sri Wahyuni;Klinik Utama;Riau;Kab. Bengkalis;Jl.Belading;TRUE;-;;;
Klinik Polres Bengkalis;Klinik Pratama;Riau;Kab. Bengkalis;Jl. Antara No. 92;TRUE;http://maps.google.co.id/?q=1.466441,102.2508;;;
Bp Mandau Sejahtera;Klinik Pratama;Riau;Kab. Bengkalis;Jl.Jend.Sudirman No.35, Simp.G;TRUE;http://maps.google.co.id/?q=1.281346,101.193609;;;
Bp Duri Medika (Jst);Klinik Pratama;Riau;Kab. Bengkalis;Jl. Jend Sudirman Simp Padang;TRUE;http://maps.google.co.id/?q=1.18463,101.104605;;;
Bp Dian Husada Duri (Jst);Klinik Pratama;Riau;Kab. Bengkalis;Jl. Gajah Mada No. 31;TRUE;http://maps.google.co.id/?q=1.151183,101.132125;;;
Bp Nayaka Husada (Jst);Klinik Pratama;Riau;Kab. Bengkalis;Jl. Dewi Sartika;TRUE;http://maps.google.co.id/?q=1.273066,101.197493;;;
Bp Nayaka Husada Ii (Jst);Klinik Pratama;Riau;Kab. Bengkalis;Jl. Hangtuah 387A;TRUE;http://maps.google.co.id/?q=1.291658,101.179784;;;
Bp Hangtuah;Klinik Pratama;Riau;Kab. Bengkalis;Jl. Hangtuah No. 29 - Duri;TRUE;http://maps.google.co.id/?q=1.276256,101.182885;;;
Klinik Reza Medika;Klinik Pratama;Riau;Kab. Bengkalis;Jl. Mawar No 24 Duri;TRUE;http://maps.google.co.id/?q=1.265828,101.189699;;;
Klinik Hayati;Klinik Pratama;Riau;Kab. Bengkalis;Jl. Lintas Duri-Dumai Km 16;TRUE;http://maps.google.co.id/?q=1.39358,101.1497;;;
Klinik Santo Yosef;Klinik Pratama;Riau;Kab. Bengkalis;Jl. Gajah Mada No 107, Sebanga;TRUE;http://maps.google.co.id/?q=1.250958,101.235061;;;
Bp Berkah;Klinik Pratama;Riau;Kab. Bengkalis;Jl Lintas Duri - Pekanbaru;TRUE;http://maps.google.co.id/?q=1.183272,101.26407;;;
Klinik Pratama Dr. Moris;Klinik Pratama;Riau;Kab. Bengkalis;Jl. Ahmad Yani;TRUE;http://maps.google.co.id/?q=1.473111,102.112644;;;
Bp Pt Adei Plantation&Industry;Klinik Pratama;Riau;Kab. Bengkalis;Jl. Raya Pekanbaru-Duri Km.101;TRUE;http://maps.google.co.id/?q=1.06673,101.1839;;;
Klinik Pratama Dr. Amri;Klinik Pratama;Riau;Kab. Bengkalis;Jl. Utama No. 57;TRUE;http://maps.google.co.id/?q=1.246912,101.223305;;;
Klinik Pratama Permata Hati;Klinik Pratama;Riau;Kab. Bengkalis;Jl. Jendral Sudirman No. 50;TRUE;http://maps.google.co.id/?q=1.2715695,101.2009488;;;
Klinik Mahkota Sebangar;Klinik Pratama;Riau;Kab. Bengkalis;Jl. Lintas Duri-Dumai Km 18;TRUE;http://maps.google.co.id/?q=1.4087436,101.1623223;;;
IFRS Bengkalis;Apotek;Riau;Kab. Bengkalis;Jl. Kelapapati Tengah No. 90;TRUE;http://maps.google.co.id/?q=1.465319,102.249443;;;
Apotek PANDU PRIMA;Apotek;Riau;Kab. Bengkalis;JL Stadion;TRUE;http://maps.google.co.id/?q=1.281397,101.167199;;;
IFRS Kec Mandau;Apotek;Riau;Kab. Bengkalis;Jl. Stadiun Duri;TRUE;http://maps.google.co.id/?q=1.279547,101.168553;;;
IFRS Mutia Sari;Apotek;Riau;Kab. Bengkalis;Jl. Bathin Batuah;TRUE;http://maps.google.co.id/?q=1.281109,101.194986;;;
IFRS Permata Hati;Apotek;Riau;Kab. Bengkalis;Jl. Jend. Sudirman No. 37;TRUE;http://maps.google.co.id/?q=1.277443,101.196427;;;
IFRS Thursina;Apotek;Riau;Kab. Bengkalis;Hangtuah No.93;TRUE;-;;;
Apotek Medical Farma;Apotek;Riau;Kab. Bengkalis;Jl. Kelapapati Tengah;TRUE;http://maps.google.co.id/?q=1.48655,102.08859;;;
Apotek Kimia Farma;Apotek;Riau;Kab. Bengkalis;jl. sudirman;TRUE;-;;;
Sinaboi;Puskesmas;Riau;Kab. Rokan Hilir;Jl. Lintas Dumai No.08 Sinaboi;TRUE;http://maps.google.co.id/?q=2.286466,100.967553;;;
Bantaian;Puskesmas;Riau;Kab. Rokan Hilir;Jl Lintas Bagansiapiapi-Bantai;TRUE;http://maps.google.co.id/?q=1.94458,100.91372;;;
Tanah Putih;Puskesmas;Riau;Kab. Rokan Hilir;Jl Lintas Bagansiapiapi-Uj Tjg;TRUE;http://maps.google.co.id/?q=1.67938,101.04263;;;
Rantau Kopar;Puskesmas;Riau;Kab. Rokan Hilir;Jl Lintas Sekapas Rantau Kopar;TRUE;http://maps.google.co.id/?q=1.426159,101.059862;;;
Balai Jaya;Puskesmas;Riau;Kab. Rokan Hilir;Jl Lintas Riau-Sumut Km.39;TRUE;http://maps.google.co.id/?q=1.690991,100.538997;;;
Bagan Punak;Puskesmas;Riau;Kab. Rokan Hilir;Jl. Kecamatan;TRUE;http://maps.google.co.id/?q=2.135618,100.856435;;;
Pedamaran;Puskesmas;Riau;Kab. Rokan Hilir;Jl Lintas Pedamaran Pekaitan;TRUE;http://maps.google.co.id/?q=2.158389,100.816023;;;
Bagansiapiapi;Puskesmas;Riau;Kab. Rokan Hilir;Jl Jambu N0 22 Bagansiapi-Api;TRUE;http://maps.google.co.id/?q=2.170849,100.808601;;;
Bangko Jaya;Puskesmas;Riau;Kab. Rokan Hilir;Jl Lintas Riau-Sumut Km 12 Bal;TRUE;http://maps.google.co.id/?q=1.694217,100.788721;;;
Rimba Melintang;Puskesmas;Riau;Kab. Rokan Hilir;Jl Lintas Utama Bagansiapiapi-;TRUE;http://maps.google.co.id/?q=1.73892,101.00922;;;
Rantau Panjang Kiri;Puskesmas;Riau;Kab. Rokan Hilir;Jl. Poros Parit H. Salim;TRUE;http://maps.google.co.id/?q=2.048734,100.62634;;;
Panipahan;Puskesmas;Riau;Kab. Rokan Hilir;Jl Dharma No.077A Panipahan;TRUE;http://maps.google.co.id/?q=2.468317,100.343098;;;
Bagan Batu;Puskesmas;Riau;Kab. Rokan Hilir;Jl Sudirman No 562 Bagan Batu;TRUE;http://maps.google.co.id/?q=1.716417,100.393392;;;
Simpang Kanan;Puskesmas;Riau;Kab. Rokan Hilir;Jl. M. Yazid Hamta;TRUE;http://maps.google.co.id/?q=1.811837,100.316111;;;
Sedinginan;Puskesmas;Riau;Kab. Rokan Hilir;jl. tuanku tambusai;TRUE;http://maps.google.co.id/?q=1.555155,101.010909;;;
Pujud;Puskesmas;Riau;Kab. Rokan Hilir;Jl. Jendral Sudirman No.002 Pu;TRUE;http://maps.google.co.id/?q=1.435463,100.645469;;;
Bangko Kanan;Puskesmas;Riau;Kab. Rokan Hilir;Jl Anas Maamun Bangko Kanan;TRUE;http://maps.google.co.id/?q=1.753567,100.90579;;;
-;Dokter Praktik Perorangan;Riau;Kab. Rokan Hilir;-;TRUE;-;;;
Drg. RIANI ICHWAN;Dokter Gigi;Riau;Kab. Rokan Hilir;Jl Kayangan..;TRUE;http://maps.google.co.id/?q=2.161129,100.811979;;;
Dr. SITI UMAIMAH AMINAH IMA;Klinik Utama;Riau;Kab. Rokan Hilir;Jl. Pusara No 1C Bagansiapiapi;TRUE;http://maps.google.co.id/?q=2.162761,100.806121;;;
Dr. MELLIANA;Klinik Utama;Riau;Kab. Rokan Hilir;Jl Lintas Riau-Sumut Sp Benar;TRUE;http://maps.google.co.id/?q=1.610341,100.990931;;;
Dr. JOB TARIGAN; M.Kes;Klinik Utama;Riau;Kab. Rokan Hilir;Jl Jend Sudirman Sp.Pelita;TRUE;http://maps.google.co.id/?q=2.001165,100.441704;;
Dr. SATRIA CANDRA (JST);Klinik Utama;Riau;Kab. Rokan Hilir;Jl. Balai Adat Kepenghuluan;TRUE;http://maps.google.co.id/?q=1.393753,100.574226;;;
Dr. Netti Juliana;Klinik Utama;Riau;Kab. Rokan Hilir;Jl. Bakti-Panipahan No. 51;TRUE;http://maps.google.co.id/?q=2.452335,100.313286;;;
dr. SHERMAN WIRLY;Klinik Utama;Riau;Kab. Rokan Hilir;Jl. Mawar No. 23;TRUE;http://maps.google.co.id/?q=2.15356724,100.52371568;;;
Dr Mas Eko Saputra;Klinik Utama;Riau;Kab. Rokan Hilir;Jl. Lintas Tanjung Medan - Dalu-Dalu Tanjung Medan;TRUE;-;;;
Dr Efsarini;Klinik Utama;Riau;Kab. Rokan Hilir;Km. 35 Balai Jaya;TRUE;-;;;
Dr. Iwan Sanusi;Klinik Utama;Riau;Kab. Rokan Hilir;Jalan Hasan Tiro, Simpang Pujud;TRUE;-;;;
Dr. Novita Saragi;Klinik Utama;Riau;Kab. Rokan Hilir;Lintas Riau-Sumut Balam Km. 26;TRUE;-;;;
Dr. Riono;Klinik Utama;Riau;Kab. Rokan Hilir;Jl.Jend.Sudirman Km.1 No.95;TRUE;-;;;
Dr. Amri;Klinik Utama;Riau;Kab. Rokan Hilir;Jalan Jendral Sudirman;TRUE;-;;;
Klinik Bhayangkara;Klinik Pratama;Riau;Kab. Rokan Hilir;Lintas Riau Sumut Km 167;TRUE;http://maps.google.co.id/?q=1.601597,100.970839;;;
Klinik Ratu Mutiara;Klinik Pratama;Riau;Kab. Rokan Hilir;Jalan Jend.Sudirman Pujud;TRUE;http://maps.google.co.id/?q=1.41531,100.4771417;;;
Bp Asy Syifa;Klinik Pratama;Riau;Kab. Rokan Hilir;Jl. Lintas Ujung Tanjung;TRUE;http://maps.google.co.id/?q=1.894943,100.943728;;;
Bp Rohil Medika;Klinik Pratama;Riau;Kab. Rokan Hilir;Jl. Lintas Bagansiapiapi-Lengg;TRUE;http://maps.google.co.id/?q=1.896879,100.988904;;;
Klinik Dr. Atan;Klinik Pratama;Riau;Kab. Rokan Hilir;Jl Perniagaan No 52 Bagansiapi;TRUE;http://maps.google.co.id/?q=2.158459,100.806454;;;
Klinik Fatima;Klinik Pratama;Riau;Kab. Rokan Hilir;Jl.Muslimin No.2 B Bagansiapia;TRUE;http://maps.google.co.id/?q=2.09383,100.48175;;;
Klinik Zahra;Klinik Pratama;Riau;Kab. Rokan Hilir;Jl. Boltrem Jaya;TRUE;http://maps.google.co.id/?q=1.844659,100.428005;;;
Klinik Pratama Permata Bunda;Klinik Pratama;Riau;Kab. Rokan Hilir;Jl. Lintas Riau - Sumut Km. 12;TRUE;http://maps.google.co.id/?q=1.895142,100.943729;;;
Klinik dr. A. Daulay; MARS;Klinik Pratama;Riau;Kab. Rokan Hilir;Jl. Jendral Sudirman;TRUE;http://maps.google.co.id/?q=1.709939,100.397018;;
Klinik Pt. Tunggal Mitra P;Klinik Pratama;Riau;Kab. Rokan Hilir;Manggala Estate 1 Ds. Manggala;TRUE;-;;;
Klinik Santa Maria M;Klinik Pratama;Riau;Kab. Rokan Hilir;Jl. Jendral Sudirman Km.2;TRUE;-;;;
Klinik Pt. Salim Ivomas;Klinik Pratama;Riau;Kab. Rokan Hilir;Balam Km-29;TRUE;-;;;
Apotik Rokan Jaya;Apotek;Riau;Kab. Rokan Hilir;Jl Perdagangan No 47 B;TRUE;http://maps.google.co.id/?q=2.158705,100.806287;;;
IFRS Indah;Apotek;Riau;Kab. Rokan Hilir;Jl. Jendral Sudirman Km. 2;TRUE;http://maps.google.co.id/?q=1.68529,100.418347;;;
IFRS Regita Medika;Apotek;Riau;Kab. Rokan Hilir;Jl. Lintas Sumatera No. 9;TRUE;http://maps.google.co.id/?q=1.624158,101.03786;;;
IFRS Cahaya;Apotek;Riau;Kab. Rokan Hilir;Jl. Lintas Riau Sumatera Utara;TRUE;http://maps.google.co.id/?q=1.627159,101.006537;;;
Apotek Rohil Jaya;Apotek;Riau;Kab. Rokan Hilir;Jl. Pahlawan, bagansiapiapi;TRUE;http://maps.google.co.id/?q=2.152105,100.809194;;;
Apotek Kinol Farma;Apotek;Riau;Kab. Rokan Hilir;JL. Lintas Sumatera;TRUE;-;;;
Ifrsud Dr. Rm Pratomo;Apotek;Riau;Kab. Rokan Hilir;Jl Pahlawan No 13;TRUE;http://maps.google.co.id/?q=2.158035,100.81618;;;
Simpang Baru;Puskesmas;Riau;Kota Pekan Baru;Jl.Kamboja No. 100;TRUE;http://maps.google.co.id/?q=0.516995,101.4432355;;;
RI Muara Fajar;Puskesmas;Riau;Kota Pekan Baru;Jl. Yosudarso Rumbai;TRUE;http://maps.google.co.id/?q=0.57566,101.445994;;;
Rumbai Bukit;Puskesmas;Riau;Kota Pekan Baru;Jl. RUMBAI BUKIT;TRUE;http://maps.google.co.id/?q=0.6079233,101.3993059;;;
Puskesmas Sapta Taruna;Puskesmas;Riau;Kota Pekan Baru;Jl.Sapta Taruna No 45;TRUE;-;;;
Langsat;Puskesmas;Riau;Kota Pekan Baru;Jl. Langsat No. 1;TRUE;http://maps.google.co.id/?q=0.51076,101.446613;;;
Melur;Puskesmas;Riau;Kota Pekan Baru;Jl. Melur No. 103;TRUE;http://maps.google.co.id/?q=0.5218128,101.4408199;;;
Senapelan;Puskesmas;Riau;Kota Pekan Baru;Jl.Jati No.4 Pekanbaru;TRUE;http://maps.google.co.id/?q=0.537796,101.4331789;;;
Rumbai;Puskesmas;Riau;Kota Pekan Baru;Jl. Sekolah No. 52 Rumbai;TRUE;http://maps.google.co.id/?q=0.559677,101.436593;;;
Umban Sari;Puskesmas;Riau;Kota Pekan Baru;Jl Purnama Sari No 2;TRUE;http://maps.google.co.id/?q=0.571244,101.413857;;;
Karya Wanita;Puskesmas;Riau;Kota Pekan Baru;Jlgabus Raya 03;TRUE;http://maps.google.co.id/?q=0.563598,101.440369;;;
Pekanbaru Kota;Puskesmas;Riau;Kota Pekan Baru;Jl. Tengku Umar N0 68;TRUE;http://maps.google.co.id/?q=0.525094,101.426917;;;
Limapuluh;Puskesmas;Riau;Kota Pekan Baru;Jl. Sumbersari No.118;TRUE;http://maps.google.co.id/?q=0.540325,101.46366;;;
Sail;Puskesmas;Riau;Kota Pekan Baru;Jl. Hang Jebat No 13;TRUE;http://maps.google.co.id/?q=0.5166337,101.4369838;;;
Simpang Tiga;Puskesmas;Riau;Kota Pekan Baru;Jl Kaharudin Nasution;TRUE;http://maps.google.co.id/?q=0.463462,101.452987;;;
Rejosari;Puskesmas;Riau;Kota Pekan Baru;Jl Utama Hangtuah Tenayan Raya;TRUE;http://maps.google.co.id/?q=0.488721,101.457413;;;
Harapan Raya;Puskesmas;Riau;Kota Pekan Baru;Jl. Imam Munandar No. 40;TRUE;http://maps.google.co.id/?q=0.499544,101.455693;;;
Garuda;Puskesmas;Riau;Kota Pekan Baru;Jl.Garuda No.12 A Pekanbaru;TRUE;http://maps.google.co.id/?q=0.497125,101.444678;;;
Tenayan Raya;Puskesmas;Riau;Kota Pekan Baru;Jl Budi Luhur, Sail ,Tenayan R;TRUE;http://maps.google.co.id/?q=0.497001,101.503387;;;
Payung Sekaki;Puskesmas;Riau;Kota Pekan Baru;Jl. Fajar No. 21;TRUE;http://maps.google.co.id/?q=0.516715,101.416626;;;
Sidomulyo;Puskesmas;Riau;Kota Pekan Baru;Jl. Hr. Soebrantas Panam;TRUE;http://maps.google.co.id/?q=0.464118,101.412831;;;
RI Sidomulyo;Puskesmas;Riau;Kota Pekan Baru;Jl Garuda Tobekgodang Tampan;TRUE;http://maps.google.co.id/?q=0.468303,101.404586;;;
Klinik Utama Bukit Raya;Dokter Praktik Perorangan;Riau;Kota Pekan Baru;Jln. Hangtuah Ujung No.89;TRUE;-;;;
Klinik Utama Nusa Lima;Dokter Praktik Perorangan;Riau;Kota Pekan Baru;Jln Ronggowarsito No.40;TRUE;-;;;
Klinik Utama Amanda;Dokter Praktik Perorangan;Riau;Kota Pekan Baru;Jl. Kartini No.31;TRUE;-;;;
drg. Rina Aryati Sitompul;Dokter Gigi;Riau;Kota Pekan Baru;Jalan Dahlia Ujung No. 105;TRUE;http://maps.google.co.id/?q=0.523831,101.430552;;;
drg. Riza Andayani;Dokter Gigi;Riau;Kota Pekan Baru;Jl. Nenas No. 28;TRUE;http://maps.google.co.id/?q=0.510174,101.443468;;;
drg. Yerlina;Dokter Gigi;Riau;Kota Pekan Baru;Jl. Hangtuah Ujung Kom. Indah;TRUE;http://maps.google.co.id/?q=0.5200936,101.4815632;;;
drg. Tensy Tambunan;Dokter Gigi;Riau;Kota Pekan Baru;Jl. Ahmad Yani No. 111C;TRUE;http://maps.google.co.id/?q=0.525371,101.4418248;;;
drg. Sri Asih Gahayu;Dokter Gigi;Riau;Kota Pekan Baru;Jl. Balam No. 24C Pekanbaru;TRUE;http://maps.google.co.id/?q=0.5089173,101.4340411;;;
drg. Adhyasari;Dokter Gigi;Riau;Kota Pekan Baru;Poros Pandau No. 5 Pekanbaru;TRUE;http://maps.google.co.id/?q=0.432722,101.462431;;;
drg. Elpi Sumiarni;Dokter Gigi;Riau;Kota Pekan Baru;Jl. Melati Indah Komplek Gmp;TRUE;http://maps.google.co.id/?q=0.478703,101.402234;;;
drg. Silvia Adnan;Dokter Gigi;Riau;Kota Pekan Baru;Jl Tulip No 06 Sukajadi;TRUE;http://maps.google.co.id/?q=0.519708,101.437148;;;
Drg. Fatma Yuza;Dokter Gigi;Riau;Kota Pekan Baru;Jl. Tengku Bey Nomor 150C;TRUE;-;;;
dr. Miharza;Klinik Utama;Riau;Kota Pekan Baru;Jl Serayu No. 47C;TRUE;http://maps.google.co.id/?q=0.523831,101.430522;;;
dr. Luise Santhy Clara S;Klinik Utama;Riau;Kota Pekan Baru;Jl Hang Tuah Depan Teras Kay;TRUE;http://maps.google.co.id/?q=0.5200936,101.4815632;;;
dr. Timbul Martua Sinaga;Klinik Utama;Riau;Kota Pekan Baru;Jl. Kartika Sari No 20 U.Sari;TRUE;http://maps.google.co.id/?q=0.570547,101.413441;;;
dr. Iryun Netti;Klinik Utama;Riau;Kota Pekan Baru;Jl Kaharuddin Nasution No 99C;TRUE;http://maps.google.co.id/?q=0.431813,101.462313;;;
dr. Silvia Indriani;Klinik Utama;Riau;Kota Pekan Baru;Jl. Rajawali Pertokoan Ratos;TRUE;http://maps.google.co.id/?q=0.521009,101.433523;;;
dr. Grace Simanjuntak;Klinik Utama;Riau;Kota Pekan Baru;Jl Fajar Perum Nuansa Fajar;TRUE;http://maps.google.co.id/?q=0.518568,101.418138;;;
dr. Eka Juniarti Napitupulu;Klinik Utama;Riau;Kota Pekan Baru;Yos Sudarso No. 30;TRUE;http://maps.google.co.id/?q=0.5560874,101.4324443;;;
dr. Yenni Nolita;Klinik Utama;Riau;Kota Pekan Baru;Bukit Barisan No. 24 Pekanbaru;TRUE;http://maps.google.co.id/?q=0.4835114,101.4999163;;;
dr. Noorchalis Asnawi;Klinik Utama;Riau;Kota Pekan Baru;Cempaka No. 85A;TRUE;http://maps.google.co.id/?q=0.5283282,101.4345946;;;
dr. Cecep Deni Kuswendi;Klinik Utama;Riau;Kota Pekan Baru;Bukit Batabuh No. 18;TRUE;http://maps.google.co.id/?q=0.5643036,101.4377343;;;
dr. Ahmad Tarmizy;Klinik Utama;Riau;Kota Pekan Baru;Purwodady No. 21D;TRUE;http://maps.google.co.id/?q=0.4478362,101.4018006;;;
dr. Erna Ariyani;Klinik Utama;Riau;Kota Pekan Baru;Jl. Tengku Bey No. 150 C;TRUE;http://maps.google.co.id/?q=0.463975,101.4565007;;;
dr. Octarina Hasan;Klinik Utama;Riau;Kota Pekan Baru;`Jl. Sepakat No. 114 B;TRUE;http://maps.google.co.id/?q=0.490658,101.503463;;;
dr. Muhammad Ridha Zuhri;Klinik Utama;Riau;Kota Pekan Baru;Sukajadi;TRUE;http://maps.google.co.id/?q=0.505647,101.432251;;;
dr. Lasma E.R. Panggabean;Klinik Utama;Riau;Kota Pekan Baru;Jl. Lokomotif No. 25C;TRUE;http://maps.google.co.id/?q=0.532089,101.465789;;;
Dr Rika Febiola;Klinik Utama;Riau;Kota Pekan Baru;Jl. Hr. Soebrantas Km. 13;TRUE;-;;;
dr. Rini Hermiyati;Klinik Utama;Riau;Kota Pekan Baru;Jl. Kembangsari / Letkol Hasan;TRUE;http://maps.google.co.id/?q=0.5072472,101.4497866;;;
Poli Rem 031 / Wb;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Hang Tuah;TRUE;http://maps.google.co.id/?q=0.522077,101.456367;;;
Sikes Yonarhanudse 13;Klinik Pratama;Riau;Kota Pekan Baru;Jl.Kh. Nasution Asrama Yonarha;TRUE;http://maps.google.co.id/?q=0.423102,101.437646;;;
Poliklinik LANUD RUSMIN N;Klinik Pratama;Riau;Kota Pekan Baru;Jln. Adi Sucipto Simpang Tiga;TRUE;http://maps.google.co.id/?q=0.455259,101.424793;;;
Klinik Polresta Pekanbaru;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Ahmad Yani No. 11;TRUE;http://maps.google.co.id/?q=0.533547,101.44328;;;
Klinik SAT BRIMOBDA Riau;Klinik Pratama;Riau;Kota Pekan Baru;Kh.Ahmad Dahlan;TRUE;http://maps.google.co.id/?q=0.514931,101.437749;;;
Klinik SPN Pekanbaru;Klinik Pratama;Riau;Kota Pekan Baru;Jalan Paus Rumbai;TRUE;http://maps.google.co.id/?q=0.510535,101.457801;;;
Polda Riau;Klinik Pratama;Riau;Kota Pekan Baru;Sudirman No.235;TRUE;http://maps.google.co.id/?q=0.51826,101.447957;;;
Klinik Uwa Medika;Klinik Pratama;Riau;Kota Pekan Baru;Jl.Hr.Soebrantas No. 92 Panam;TRUE;http://maps.google.co.id/?q=0.464039,101.369985;;;
Klinik Elliya Husada;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Delima No. 138 Panam;TRUE;http://maps.google.co.id/?q=0.473299,101.40555;;;
Klinik Labuh Baru;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Durian No. 21 D;TRUE;http://maps.google.co.id/?q=0.517058,101.428773;;;
Klinik Fellita;Klinik Pratama;Riau;Kota Pekan Baru;Kaharuddin Nasution No. 149;TRUE;http://maps.google.co.id/?q=0.445592,101.450213;;;
Klinik Raudah;Klinik Pratama;Riau;Kota Pekan Baru;Adi Sucipto No. 293A;TRUE;http://maps.google.co.id/?q=0.463766,101.422372;;;
Klinik Sari Husada;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Tanjung Datuk No. 141 I;TRUE;http://maps.google.co.id/?q=0.544851,101.459292;;;
Klinik dr. Misbah RMC;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Sembilang Ruko 3 Rumbai;TRUE;http://maps.google.co.id/?q=0.564702,101.449368;;;
Klinik Paus Medika Sigunggung;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Dharma Bakti No. 26B;TRUE;http://maps.google.co.id/?q=0.51708,101.41646;;;
Klinik Nayaka Husada;Klinik Pratama;Riau;Kota Pekan Baru;Jl. H. Imam Munandar No. 12;TRUE;http://maps.google.co.id/?q=0.495602,101.483735;;;
Klinik Sejahtera;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Bhakti Permai I No. 27 Pku;TRUE;http://maps.google.co.id/?q=0.520021,101.407182;;;
Klinik Kartika Utama;Klinik Pratama;Riau;Kota Pekan Baru;Jln Ahmad Yani No. 58 A;TRUE;http://maps.google.co.id/?q=0.529409,101.442491;;;
Klinik Bertuah Medika;Klinik Pratama;Riau;Kota Pekan Baru;Jln Puyuh Mas No. 2 E;TRUE;http://maps.google.co.id/?q=0.51662,101.441122;;;
Klinik Pramuka;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Pramuka No. 38;TRUE;http://maps.google.co.id/?q=0.569692,101.449678;;;
Klinik Doktor Bastian;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Garuda Sakti Km. 2;TRUE;http://maps.google.co.id/?q=0.479252,101.366095;;;
Klinik Selvia Medika;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Hr Soebrantas No 76;TRUE;http://maps.google.co.id/?q=0.463956,101.386651;;;
Klinik Hangtuah Medika;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Hangtuah;TRUE;http://maps.google.co.id/?q=0.518012,101.484282;;;
Klinik Annisa Medika 2;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Hr Soebrantas No. 107;TRUE;http://maps.google.co.id/?q=0.463438,101.414746;;;
Klinik Seicho Medika;Klinik Pratama;Riau;Kota Pekan Baru;Jl Kartama Blok A/2;TRUE;http://maps.google.co.id/?q=0.443404,101.437456;;;
Klinik Syarita Medica;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Utama Gg. Rambah Jaya No 1;TRUE;http://maps.google.co.id/?q=0.522121,101.481073;;;
Klinik Indi Medika;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Kh Nasution No 98 C;TRUE;http://maps.google.co.id/?q=0.45658,101.452465;;;
Klinik Dilla;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Kartama No 51;TRUE;http://maps.google.co.id/?q=0.443652,101.438773;;;
Klinik Mitra Keluarga;Klinik Pratama;Riau;Kota Pekan Baru;Jl Hangtuah No 2;TRUE;http://maps.google.co.id/?q=0.524973,101.462105;;;
Klinik Ummi Medika;Klinik Pratama;Riau;Kota Pekan Baru;Jl Garuda Sakti Km 3;TRUE;http://maps.google.co.id/?q=0.489337,101.358133;;;
Klinik Bintang Jaya;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Kaharuddin Nasution No.99C;TRUE;http://maps.google.co.id/?q=0.440958,101.448183;;;
Klinik dr. Rendy;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Panglima Undan No. 37;TRUE;http://maps.google.co.id/?q=0.537355,101.43868;;;
Klinik Marpoyan Medika;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Kaharuddin Nasution;TRUE;http://maps.google.co.id/?q=0.424904,101.438581;;;
Klinik Bunda Medical Centre;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Paus/Pattimura No. 32F;TRUE;http://maps.google.co.id/?q=0.569179,101.443022;;;
Klinik Indo Sehat;Klinik Pratama;Riau;Kota Pekan Baru;Kaharuddin Nasution Pekanbaru;TRUE;http://maps.google.co.id/?q=0.438102,101.44685;;;
Klinik Mulya;Klinik Pratama;Riau;Kota Pekan Baru;H. Imam Munandar No. 320N;TRUE;http://maps.google.co.id/?q=0.499269,101.465179;;;
Klinik Mercy;Klinik Pratama;Riau;Kota Pekan Baru;Hr. Soebrantas No. 24;TRUE;http://maps.google.co.id/?q=0.464295,101.387534;;;
Klinik Cahaya Amanah Medika;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Hangtuah, Kavling No. 1;TRUE;http://maps.google.co.id/?q=0.507017,101.497311;;;
Klinik Nadin Medika;Klinik Pratama;Riau;Kota Pekan Baru;Jl. Hr Soebrantas Ujung Pekanb;TRUE;http://maps.google.co.id/?q=0.464493,101.368839;;;
